Bus Route Number,Source Location,Destination Location,Type of Bus,Time
91D,Nagercoil,Sivakasi,AC,18:44
53D,Tiruchirappalli,Ariyalur,Private,13:01
76B,Nagapattinam,Tiruvannamalai,Government,05:03
7B,Kanchipuram,Sivakasi,Non-AC,13:31
52C,Dharmapuri,Thoothukudi,Non-AC,04:48
59B,Tiruvannamalai,Thanjavur,AC,21:56
78C,Hosur,Tiruchirappalli,Government,18:12
84B,Karur,Perambalur,Express,11:25
76D,Karur,Thoothukudi,Government,05:47
50B,Perambalur,Thanjavur,Government,01:18
39C,Cuddalore,Tirunelveli,Government,08:36
32B,Nagercoil,Vellore,AC,21:34
81C,Tiruvannamalai,Krishnagiri,Government,18:58
99C,Nagercoil,Perambalur,AC,10:38
94D,Sivakasi,Karur,AC,18:35
74C,Erode,Thanjavur,AC,04:35
81C,Cuddalore,Salem,Private,19:38
40A,Namakkal,Ariyalur,Express,01:15
29A,Karur,Salem,AC,20:21
96D,Tiruvallur,Dindigul,Government,17:52
21A,Tiruppur,Erode,Government,21:21
61B,Hosur,Tiruvannamalai,Express,15:41
90D,Cuddalore,Nagercoil,Private,19:12
78D,Kanchipuram,Thoothukudi,Private,09:28
18D,Erode,Chennai,Government,08:22
20C,Karur,Ariyalur,AC,13:15
88D,Vellore,Virudhunagar,Express,16:27
7B,Nagercoil,Thoothukudi,Non-AC,17:58
27D,Pudukkottai,Tiruchirappalli,Private,19:43
36D,Ariyalur,Nagapattinam,Government,00:16
77D,Virudhunagar,Tiruppur,Non-AC,15:58
53D,Nagercoil,Madurai,Non-AC,14:20
97C,Madurai,Hosur,Express,04:32
32B,Dharmapuri,Tiruvallur,AC,05:03
60B,Namakkal,Vellore,Express,15:59
1C,Virudhunagar,Tiruchirappalli,Express,09:10
61D,Salem,Tiruppur,Private,00:38
50A,Madurai,Erode,Private,14:46
35D,Chennai,Tiruppur,Non-AC,01:00
95C,Thanjavur,Krishnagiri,Express,13:28
98B,Sivakasi,Ramanathapuram,Government,20:51
42A,Kanchipuram,Ariyalur,Non-AC,10:21
14B,Pudukkottai,Ariyalur,AC,06:04
55A,Virudhunagar,Thoothukudi,Non-AC,11:36
12D,Dharmapuri,Perambalur,AC,18:46
60C,Tiruvannamalai,Sivakasi,Express,00:25
1B,Tirunelveli,Sivakasi,Non-AC,16:05
97C,Sivakasi,Dharmapuri,Government,12:29
28C,Ariyalur,Vellore,Express,14:05
81A,Tirunelveli,Erode,AC,03:17
98A,Tiruvannamalai,Sivakasi,Private,07:32
90C,Krishnagiri,Ramanathapuram,AC,16:00
93A,Ramanathapuram,Dindigul,Government,02:28
60D,Dharmapuri,Tiruchirappalli,Private,17:41
39D,Karur,Cuddalore,Private,13:42
73B,Pudukkottai,Thoothukudi,Private,02:24
49D,Ramanathapuram,Chennai,Express,10:05
74D,Krishnagiri,Coimbatore,Non-AC,07:01
63D,Nagercoil,Virudhunagar,Express,15:53
51D,Tiruppur,Hosur,Non-AC,05:47
95D,Dindigul,Tiruvallur,Express,11:47
98D,Thoothukudi,Dindigul,Government,02:18
72B,Erode,Karur,Non-AC,18:37
98D,Virudhunagar,Cuddalore,Non-AC,23:25
84D,Tiruppur,Karur,Non-AC,06:47
90D,Karur,Thanjavur,AC,09:40
2A,Salem,Tiruvannamalai,Government,11:26
23B,Tirunelveli,Erode,Government,06:24
91D,Kanchipuram,Hosur,AC,04:49
59B,Tirunelveli,Tiruvallur,Government,08:17
78B,Nagapattinam,Perambalur,Non-AC,02:48
84B,Dindigul,Pudukkottai,Government,03:21
55D,Namakkal,Ariyalur,Government,13:03
35A,Nagapattinam,Dharmapuri,Government,03:14
45C,Erode,Sivakasi,Non-AC,14:34
31A,Kanchipuram,Namakkal,Private,18:39
46D,Ramanathapuram,Tiruchirappalli,Non-AC,22:47
94B,Nagercoil,Hosur,Non-AC,10:43
71D,Thoothukudi,Dharmapuri,AC,04:28
88D,Cuddalore,Tiruvallur,Government,05:33
41A,Kanchipuram,Krishnagiri,AC,06:06
55D,Vellore,Pudukkottai,Private,11:14
94A,Dharmapuri,Nagercoil,Non-AC,09:55
96B,Dharmapuri,Ariyalur,Express,20:59
43A,Erode,Perambalur,AC,05:56
62C,Virudhunagar,Hosur,Express,03:15
85D,Kanchipuram,Tiruchirappalli,Express,01:14
56C,Virudhunagar,Nagercoil,Non-AC,14:32
29D,Tiruppur,Nagapattinam,Non-AC,18:10
48D,Virudhunagar,Madurai,Express,06:16
44B,Tiruppur,Kanchipuram,Non-AC,08:55
19A,Ramanathapuram,Virudhunagar,Private,22:35
8C,Pudukkottai,Ramanathapuram,AC,16:55
93C,Nagercoil,Salem,Private,10:59
10A,Tiruvannamalai,Tirunelveli,Non-AC,12:47
6A,Tiruchirappalli,Sivakasi,Private,01:32
54B,Namakkal,Madurai,AC,17:47
67C,Karur,Thanjavur,Government,09:38
62C,Vellore,Thanjavur,Non-AC,13:29
1D,Chennai,Tiruvallur,Non-AC,00:17
42B,Dindigul,Vellore,Express,05:29
37B,Pudukkottai,Karur,Private,13:54
18A,Perambalur,Chennai,Non-AC,16:19
82D,Namakkal,Kanchipuram,Non-AC,05:05
95D,Ariyalur,Coimbatore,Non-AC,14:08
83B,Virudhunagar,Dharmapuri,Express,21:07
48D,Cuddalore,Tiruvallur,Private,01:55
78D,Chennai,Pudukkottai,AC,14:51
15C,Kanchipuram,Tiruchirappalli,Private,14:07
28B,Madurai,Perambalur,AC,08:00
57A,Vellore,Hosur,Government,01:40
82B,Coimbatore,Cuddalore,Non-AC,10:09
40D,Cuddalore,Madurai,Private,23:21
51A,Kanchipuram,Tirunelveli,AC,01:13
16C,Namakkal,Coimbatore,Non-AC,03:20
69D,Salem,Dharmapuri,Express,06:50
75B,Hosur,Karur,Non-AC,15:01
61B,Pudukkottai,Ariyalur,Non-AC,18:51
89B,Tiruchirappalli,Krishnagiri,Express,08:52
71B,Madurai,Karur,Express,04:47
58B,Karur,Cuddalore,Express,07:01
49A,Tiruvannamalai,Nagercoil,AC,19:03
24D,Karur,Thanjavur,Private,01:18
23B,Krishnagiri,Tiruvallur,Non-AC,22:11
20D,Dindigul,Kanchipuram,Non-AC,22:55
81A,Madurai,Virudhunagar,Private,20:11
96B,Tiruvallur,Madurai,Private,14:11
3A,Kanchipuram,Hosur,Private,00:49
36A,Sivakasi,Dharmapuri,Private,09:39
42D,Vellore,Nagercoil,Private,10:06
34A,Erode,Namakkal,Non-AC,18:46
64A,Chennai,Madurai,AC,03:10
39C,Pudukkottai,Perambalur,AC,13:51
66C,Ramanathapuram,Salem,Government,02:18
58C,Thoothukudi,Tiruvannamalai,Private,09:33
58D,Chennai,Coimbatore,Express,12:00
59A,Cuddalore,Ariyalur,Express,03:58
27C,Perambalur,Karur,Non-AC,10:55
2C,Cuddalore,Karur,AC,16:05
93D,Tiruppur,Hosur,Non-AC,03:44
66D,Thanjavur,Namakkal,AC,10:43
72B,Cuddalore,Nagercoil,Non-AC,02:24
1C,Thoothukudi,Kanchipuram,Private,12:27
90A,Hosur,Salem,AC,17:27
84A,Dindigul,Hosur,Private,15:25
61C,Kanchipuram,Salem,Non-AC,13:09
71B,Tiruvallur,Cuddalore,Express,01:37
81D,Ramanathapuram,Vellore,Government,00:41
19A,Pudukkottai,Sivakasi,Non-AC,11:17
44D,Ariyalur,Nagapattinam,Non-AC,08:50
3D,Pudukkottai,Krishnagiri,Non-AC,20:13
63B,Dharmapuri,Tiruvallur,Private,03:32
37C,Ariyalur,Hosur,Private,17:01
60C,Chennai,Kanchipuram,Government,01:56
58A,Coimbatore,Virudhunagar,Non-AC,20:27
46D,Perambalur,Tiruchirappalli,Non-AC,20:31
47B,Nagapattinam,Erode,Government,11:41
67A,Karur,Tiruvannamalai,AC,08:22
33B,Dindigul,Dharmapuri,Non-AC,00:35
87D,Coimbatore,Salem,Private,18:55
92C,Krishnagiri,Namakkal,Express,15:40
95A,Perambalur,Tirunelveli,Express,10:51
63A,Chennai,Tiruppur,Express,19:03
50B,Ramanathapuram,Thanjavur,Express,21:16
93D,Dindigul,Tiruchirappalli,AC,18:04
63C,Tirunelveli,Ramanathapuram,Express,12:59
71D,Dharmapuri,Erode,Private,10:20
65D,Thoothukudi,Tiruvannamalai,Private,00:35
15B,Vellore,Sivakasi,AC,20:58
69A,Thoothukudi,Sivakasi,AC,10:56
73A,Kanchipuram,Madurai,Non-AC,08:17
21A,Perambalur,Tiruvallur,Private,03:01
99D,Nagapattinam,Namakkal,Express,11:40
5A,Thoothukudi,Tiruvannamalai,Express,03:25
36A,Tiruppur,Pudukkottai,Express,17:20
10B,Vellore,Pudukkottai,Private,20:21
57A,Ariyalur,Vellore,Private,09:26
43B,Salem,Madurai,AC,22:29
40B,Chennai,Perambalur,Government,22:52
94A,Dindigul,Tirunelveli,Express,00:56
51C,Madurai,Pudukkottai,AC,06:42
14B,Thanjavur,Salem,Non-AC,21:57
81B,Madurai,Vellore,Non-AC,02:21
68B,Tiruchirappalli,Karur,Express,07:41
59B,Cuddalore,Tiruchirappalli,AC,23:04
41D,Tiruchirappalli,Karur,Non-AC,19:53
22A,Karur,Ramanathapuram,Government,13:24
29A,Kanchipuram,Hosur,Private,13:37
25C,Namakkal,Madurai,AC,10:56
21A,Kanchipuram,Ramanathapuram,Non-AC,00:47
47D,Namakkal,Virudhunagar,AC,15:01
73C,Krishnagiri,Dharmapuri,AC,04:00
72D,Tiruppur,Tirunelveli,Private,13:23
65B,Thoothukudi,Ramanathapuram,Non-AC,06:35
8C,Tiruvannamalai,Salem,Express,14:34
86D,Tiruppur,Tirunelveli,Non-AC,19:12
52D,Hosur,Nagercoil,Non-AC,20:59
9C,Krishnagiri,Kanchipuram,Private,18:37
8A,Namakkal,Nagercoil,Non-AC,16:47
4A,Tiruvallur,Cuddalore,AC,13:45
30A,Salem,Tiruvannamalai,Private,03:36
35B,Ariyalur,Cuddalore,Non-AC,02:27
24D,Nagapattinam,Kanchipuram,Government,15:06
40C,Sivakasi,Dindigul,Express,18:25
30B,Vellore,Madurai,Private,06:47
41B,Virudhunagar,Vellore,AC,03:32
80B,Perambalur,Cuddalore,Express,18:09
39A,Tiruppur,Virudhunagar,AC,02:33
68A,Virudhunagar,Karur,Non-AC,23:17
97C,Thanjavur,Coimbatore,AC,00:40
43D,Dindigul,Erode,Non-AC,17:52
46D,Hosur,Thanjavur,Non-AC,05:22
33C,Tirunelveli,Nagapattinam,Private,07:44
23D,Vellore,Tirunelveli,Private,00:04
82C,Dharmapuri,Madurai,Private,18:45
34D,Madurai,Chennai,AC,19:07
80A,Kanchipuram,Sivakasi,Express,09:54
59C,Virudhunagar,Cuddalore,Government,03:27
45C,Krishnagiri,Dharmapuri,Express,11:40
7A,Namakkal,Ariyalur,Non-AC,09:52
98C,Nagercoil,Thoothukudi,Private,10:23
28A,Sivakasi,Erode,Non-AC,12:33
73A,Ariyalur,Dindigul,Express,23:14
47A,Nagercoil,Ramanathapuram,Non-AC,10:52
46D,Nagapattinam,Thanjavur,Private,13:36
67D,Hosur,Sivakasi,AC,11:42
60D,Salem,Virudhunagar,Government,19:34
9A,Dindigul,Ariyalur,Non-AC,00:39
1B,Tiruchirappalli,Perambalur,Express,03:09
41D,Ariyalur,Thanjavur,Non-AC,07:36
78B,Ariyalur,Salem,Private,05:39
28D,Hosur,Chennai,AC,04:39
36B,Virudhunagar,Namakkal,Express,11:51
39C,Tiruchirappalli,Ramanathapuram,Government,12:09
15D,Cuddalore,Chennai,AC,11:25
21D,Nagapattinam,Kanchipuram,Non-AC,11:54
57A,Ramanathapuram,Perambalur,AC,13:30
65B,Hosur,Tiruvallur,Private,01:01
76D,Virudhunagar,Dindigul,Private,10:36
45A,Karur,Coimbatore,Express,20:53
42A,Tiruchirappalli,Pudukkottai,AC,03:29
6C,Tiruvallur,Thanjavur,Express,11:54
61C,Tiruppur,Thanjavur,Private,23:06
50C,Nagercoil,Hosur,Non-AC,06:30
37C,Nagapattinam,Karur,Private,01:49
20C,Sivakasi,Tirunelveli,Private,08:49
73A,Sivakasi,Krishnagiri,Private,05:42
87C,Tirunelveli,Ramanathapuram,AC,08:54
92D,Perambalur,Tiruppur,Government,09:29
35A,Thoothukudi,Krishnagiri,Private,06:32
29B,Pudukkottai,Namakkal,Government,21:21
47D,Nagercoil,Namakkal,Express,08:22
98C,Perambalur,Namakkal,Private,07:40
78B,Tiruchirappalli,Tirunelveli,AC,10:53
73A,Karur,Tirunelveli,Non-AC,10:28
87D,Nagapattinam,Kanchipuram,Government,22:49
98B,Tirunelveli,Karur,Government,15:07
28C,Nagercoil,Cuddalore,Private,13:00
12B,Cuddalore,Erode,Government,21:25
86B,Hosur,Madurai,Express,02:47
7C,Sivakasi,Vellore,AC,17:42
99A,Salem,Vellore,Government,19:02
66D,Erode,Pudukkottai,Non-AC,20:51
23A,Namakkal,Hosur,AC,19:24
99B,Sivakasi,Erode,Government,14:18
64C,Hosur,Ramanathapuram,AC,16:14
85D,Kanchipuram,Coimbatore,Government,16:28
31B,Virudhunagar,Chennai,Government,05:11
62A,Tirunelveli,Nagercoil,AC,04:39
10A,Tiruppur,Salem,Non-AC,18:20
19C,Ramanathapuram,Nagercoil,Express,16:50
42C,Hosur,Coimbatore,Government,15:55
63C,Tiruppur,Tiruvallur,Express,14:45
14A,Cuddalore,Ramanathapuram,AC,12:36
76B,Karur,Tiruvallur,Private,03:15
23C,Salem,Nagapattinam,Government,15:23
37A,Ariyalur,Pudukkottai,AC,07:55
1D,Ramanathapuram,Namakkal,AC,14:13
52D,Hosur,Thanjavur,Non-AC,16:56
32B,Dindigul,Salem,Government,16:44
8C,Cuddalore,Chennai,Private,19:36
73D,Tirunelveli,Tiruvannamalai,Express,13:19
55D,Tiruppur,Tiruchirappalli,Government,00:11
15A,Sivakasi,Coimbatore,AC,12:26
88C,Ariyalur,Dharmapuri,Express,14:11
24A,Coimbatore,Chennai,Non-AC,10:45
8D,Coimbatore,Madurai,Express,08:10
94B,Ramanathapuram,Ariyalur,Government,06:56
31B,Namakkal,Hosur,Government,21:01
56C,Tiruvallur,Kanchipuram,Express,18:40
16B,Tirunelveli,Thoothukudi,Private,00:53
32C,Nagercoil,Tiruppur,Government,18:22
95C,Dindigul,Erode,Non-AC,00:56
5A,Coimbatore,Madurai,Non-AC,01:39
81A,Ariyalur,Hosur,AC,07:14
46A,Hosur,Kanchipuram,Private,12:13
89D,Dindigul,Ariyalur,Private,23:02
75D,Namakkal,Tiruvallur,AC,17:02
67D,Madurai,Thanjavur,AC,09:34
90D,Namakkal,Tiruchirappalli,Private,02:53
27C,Krishnagiri,Thoothukudi,Government,14:02
5A,Tiruvallur,Nagercoil,Non-AC,18:18
78A,Namakkal,Tiruvallur,Government,06:20
58D,Nagapattinam,Karur,Non-AC,14:40
57B,Salem,Krishnagiri,Express,09:21
5B,Tiruppur,Tiruchirappalli,Non-AC,08:55
73C,Cuddalore,Tiruchirappalli,AC,00:34
29A,Virudhunagar,Cuddalore,Non-AC,11:49
74D,Hosur,Kanchipuram,Government,23:29
36A,Thanjavur,Coimbatore,AC,07:33
23C,Sivakasi,Thoothukudi,AC,22:22
33C,Ariyalur,Nagercoil,AC,03:13
93D,Chennai,Madurai,Express,20:19
84C,Coimbatore,Hosur,AC,01:37
1A,Tirunelveli,Virudhunagar,Government,10:34
11B,Karur,Nagapattinam,Government,06:04
21A,Nagercoil,Tiruvannamalai,Private,04:00
28A,Tiruppur,Chennai,Express,20:37
1C,Namakkal,Pudukkottai,AC,01:54
13C,Pudukkottai,Virudhunagar,Government,02:00
60B,Hosur,Salem,Government,13:43
83B,Hosur,Sivakasi,Non-AC,17:16
34C,Krishnagiri,Pudukkottai,Government,07:43
66C,Ramanathapuram,Karur,Express,12:43
4B,Thoothukudi,Perambalur,Private,00:47
54B,Tiruvannamalai,Thanjavur,Non-AC,01:34
55D,Hosur,Pudukkottai,Express,22:18
76A,Dindigul,Cuddalore,AC,01:24
43A,Thoothukudi,Thanjavur,AC,09:22
81D,Kanchipuram,Madurai,Express,00:26
5B,Nagercoil,Tirunelveli,Express,19:43
62D,Nagercoil,Madurai,Express,10:33
91D,Hosur,Tiruppur,Private,13:09
74C,Tiruppur,Cuddalore,Non-AC,10:46
29A,Chennai,Ariyalur,Government,20:18
32C,Tiruvallur,Perambalur,Government,05:21
75C,Tirunelveli,Cuddalore,Express,11:32
2B,Vellore,Ramanathapuram,Government,12:19
13D,Karur,Tirunelveli,Government,11:48
72D,Chennai,Coimbatore,Express,11:25
20A,Coimbatore,Perambalur,Private,05:07
40B,Madurai,Vellore,Private,20:52
38B,Karur,Chennai,Private,19:59
61C,Krishnagiri,Sivakasi,AC,00:47
38C,Sivakasi,Pudukkottai,Express,03:33
6B,Pudukkottai,Virudhunagar,Government,08:52
67B,Thoothukudi,Ariyalur,Government,10:21
86C,Ariyalur,Vellore,Express,07:47
65D,Tiruchirappalli,Namakkal,Government,23:46
27D,Tirunelveli,Thanjavur,Express,05:35
41B,Thoothukudi,Vellore,Government,09:27
16B,Tirunelveli,Dindigul,Express,12:20
54B,Chennai,Namakkal,Government,17:01
79B,Tirunelveli,Namakkal,Non-AC,02:56
93B,Vellore,Namakkal,Government,22:25
23A,Nagapattinam,Coimbatore,Private,08:10
44B,Coimbatore,Ariyalur,AC,10:36
24A,Tiruvallur,Nagapattinam,Express,03:19
42B,Tirunelveli,Nagercoil,Express,19:05
55A,Vellore,Madurai,Non-AC,09:06
36B,Madurai,Kanchipuram,Government,22:11
48D,Tiruvallur,Hosur,Government,09:48
51A,Nagercoil,Sivakasi,Express,16:57
45B,Tirunelveli,Salem,Government,06:50
71B,Ramanathapuram,Tiruppur,Non-AC,04:54
15B,Erode,Dindigul,Government,22:20
92A,Salem,Erode,AC,13:19
97D,Perambalur,Erode,Private,00:20
28C,Nagercoil,Salem,Private,08:26
24C,Tiruppur,Chennai,Government,03:00
36C,Virudhunagar,Vellore,Express,08:06
35C,Vellore,Pudukkottai,Non-AC,02:21
16D,Tiruchirappalli,Cuddalore,Government,15:56
84C,Tiruchirappalli,Nagapattinam,Express,14:04
80C,Sivakasi,Cuddalore,Non-AC,16:32
93C,Cuddalore,Tiruvannamalai,Express,03:22
33B,Thoothukudi,Virudhunagar,Express,08:36
7D,Hosur,Salem,Non-AC,07:09
78D,Virudhunagar,Coimbatore,Express,12:44
72A,Pudukkottai,Sivakasi,Government,05:25
54B,Thoothukudi,Madurai,Government,01:42
68C,Ramanathapuram,Tiruppur,Private,12:11
34D,Nagapattinam,Namakkal,Private,00:48
43D,Thoothukudi,Kanchipuram,Non-AC,15:34
12C,Chennai,Dindigul,Express,16:06
60D,Nagercoil,Hosur,AC,01:10
67C,Madurai,Erode,Government,06:37
47D,Cuddalore,Sivakasi,Non-AC,18:25
73A,Thoothukudi,Ramanathapuram,Express,14:20
48D,Madurai,Karur,AC,11:55
49C,Dharmapuri,Tiruppur,Government,04:59
90C,Pudukkottai,Chennai,AC,04:50
74C,Vellore,Ramanathapuram,Non-AC,01:40
14B,Tiruppur,Nagercoil,Express,08:09
9A,Kanchipuram,Pudukkottai,Non-AC,20:27
57B,Perambalur,Thoothukudi,Non-AC,07:26
96B,Vellore,Thoothukudi,Express,22:24
93A,Thoothukudi,Ramanathapuram,Non-AC,02:53
64C,Virudhunagar,Tirunelveli,Government,19:33
21A,Nagercoil,Tirunelveli,Private,17:42
86B,Tiruvallur,Tiruchirappalli,Express,03:53
62C,Chennai,Perambalur,Government,08:34
71A,Nagapattinam,Namakkal,Government,16:21
83A,Ariyalur,Thanjavur,Non-AC,04:17
81B,Nagapattinam,Chennai,Private,11:47
13B,Cuddalore,Thanjavur,Non-AC,19:27
98C,Virudhunagar,Ramanathapuram,AC,07:16
45C,Vellore,Dindigul,Non-AC,19:03
50B,Krishnagiri,Chennai,Private,11:31
36D,Sivakasi,Karur,AC,12:39
79C,Madurai,Hosur,Government,10:23
1D,Ramanathapuram,Karur,Non-AC,05:26
98C,Tiruchirappalli,Tiruvallur,Express,18:50
25A,Tiruchirappalli,Tiruvannamalai,Non-AC,04:27
74D,Perambalur,Ariyalur,Non-AC,21:05
83B,Dindigul,Thoothukudi,Government,17:50
12B,Namakkal,Sivakasi,Government,17:24
19C,Nagercoil,Tiruvannamalai,Non-AC,04:08
59B,Tiruvallur,Tirunelveli,Non-AC,21:28
92D,Tirunelveli,Dharmapuri,Government,17:21
65D,Pudukkottai,Tiruvallur,Government,16:17
23B,Hosur,Tiruvannamalai,Government,18:33
34A,Tirunelveli,Sivakasi,Non-AC,11:26
85C,Vellore,Dindigul,Express,22:58
24C,Perambalur,Pudukkottai,Express,19:05
72B,Ariyalur,Kanchipuram,Private,11:59
17A,Ariyalur,Salem,Express,05:34
97A,Nagapattinam,Tiruvallur,Private,15:33
41B,Tirunelveli,Virudhunagar,Non-AC,05:14
68B,Cuddalore,Virudhunagar,AC,02:17
79B,Krishnagiri,Chennai,Private,04:04
17C,Dharmapuri,Thoothukudi,Private,05:12
90C,Erode,Karur,Non-AC,03:52
92B,Thanjavur,Namakkal,Government,01:47
25C,Hosur,Vellore,Non-AC,17:42
66C,Coimbatore,Sivakasi,AC,17:47
79C,Chennai,Perambalur,Non-AC,09:27
52C,Tiruchirappalli,Ramanathapuram,Government,12:52
35B,Karur,Nagapattinam,Private,12:12
19A,Thanjavur,Tiruvallur,AC,10:43
4A,Tiruvallur,Ariyalur,Non-AC,07:42
44D,Virudhunagar,Ramanathapuram,AC,01:54
88A,Thanjavur,Kanchipuram,Private,11:19
83D,Virudhunagar,Krishnagiri,AC,18:01
98C,Kanchipuram,Madurai,Private,21:26
76A,Perambalur,Pudukkottai,AC,10:19
67B,Kanchipuram,Ariyalur,Non-AC,13:15
